date,volatility,momentum,volume,breadth,trend,social_media,fear_greed_index
2025-03-14,68.98569292861525,95.86196117961074,26.736843785605746,49.99999999999999,83.40178270351726,50.47638583918681,100.0
2025-03-17,22.87800308466383,67.60375944495563,64.47554899038214,49.99999999999999,82.85526958729183,43.39141326826812,100.0
2025-03-18,23.435846684384515,62.71505401177553,0.0,33.33333333333333,81.74344012133726,44.82589992636443,100.0
2025-03-19,23.732549332106927,57.09393524985218,13.872045052841234,49.99999999999999,73.74584593533704,70.81024774975776,100.0
2025-03-20,23.840696794084366,61.904862324111065,12.74810853476719,33.33333333333333,65.02599263690516,19.25345444763578,100.0
2025-03-21,36.875114764240614,57.83062364563516,25.002943204749172,16.666666666666664,50.96609959803693,26.540125290974032,100.0
2025-03-24,37.299308107316385,54.57574944069308,13.799417530718522,16.666666666666664,49.03254784867746,53.02380758261873,100.0
2025-03-25,41.99272000949921,46.67932970893468,7.849812866790495,16.666666666666664,47.60788438572174,59.091926242978865,100.0
2025-03-26,95.29999393311304,45.02102842979663,18.26687209124249,16.666666666666664,44.60898827458589,0.0,100.0
2025-03-27,94.80169632564922,42.68234984478511,11.047000293958947,33.33333333333333,43.3761590382687,80.83914968577096,100.0
2025-03-28,96.41386362373,45.75964603442497,22.66102122999825,16.666666666666664,42.645040163176624,66.70676272650701,100.0
2025-03-31,93.37257048865803,36.91924837030054,38.33674746957235,16.666666666666664,40.97789161696393,35.305453318870946,100.0
2025-04-01,93.67254508891942,19.312552173521265,7.264828176088961,33.33333333333333,38.09462500838009,24.709153473849295,100.0
2025-04-02,86.24545944646374,27.975262510311605,28.293937294061017,49.99999999999999,39.844912639161926,26.5811808995973,100.0
2025-04-03,87.76534228590819,15.859877318749534,9.480133976652896,33.33333333333333,40.45440699495859,51.13028845376332,100.0
2025-04-07,9.115737427201466,0.0,100.0,33.33333333333333,28.624327063187437,9.83252556217077,100.0
2025-04-08,3.9651729385088146,10.540049252855157,6.28126948431157,33.33333333333333,21.353762851949856,20.952918586714237,100.0
2025-04-09,3.715650171845283,6.617212327248686,10.49639658542641,33.33333333333333,13.445613426009869,51.01540666703244,100.0
2025-04-10,0.0,17.061128817499966,12.912012775583815,49.99999999999999,6.460266061522336,64.55427573440882,100.0
2025-04-11,0.27547513547875724,21.687126700431524,9.01903830536039,33.33333333333333,0.0,33.40633531502233,100.0
2025-04-14,2.2863461214738265,28.11845584291953,27.672044748807217,33.33333333333333,14.059726772158193,39.02839232597236,100.0
2025-04-15,1.5685708324519112,25.822224886141743,15.836620523683504,49.99999999999999,21.793876296539786,72.65686596805674,100.0
2025-04-16,90.08043654325228,33.879554583960584,22.6774898248907,66.66666666666666,31.19687435852973,15.643119995727266,100.0
2025-04-17,95.13520602381493,38.018470122488566,17.44650521029311,66.66666666666666,39.242236542795204,76.27623314708832,100.0
2025-04-18,93.98203742929314,51.12586955651203,14.808608214921204,83.33333333333331,50.06938298214253,20.711547513260335,100.0
2025-04-21,75.6703839506007,45.19124757004937,32.83810910069238,66.66666666666666,55.666316771055435,71.8316557564863,100.0
2025-04-22,76.04360167675337,46.04000790324263,11.020789528844292,83.33333333333331,60.840062122823966,40.770591277608325,100.0
2025-04-23,75.36286671407606,35.49952430156965,9.899230967201007,66.66666666666666,64.2458211038632,70.11715272426424,100.0
2025-04-24,75.3638772921351,39.55065883723537,22.9357975083157,66.66666666666666,65.95265112341954,24.142429024756343,100.0
2025-04-25,75.85835450362399,92.28894259426453,15.987429201836633,49.99999999999999,63.7136407504439,45.62123288680146,100.0
2025-04-28,77.56668289822947,80.73507114695623,18.263277614014093,33.33333333333333,65.72395862749896,33.79435199241546,100.0
2025-04-29,87.22144060240967,80.76392481462322,18.372371685235976,16.666666666666664,66.02093391606019,14.70742257654796,100.0
2025-04-30,100.0,66.01334753562838,27.506126617295283,16.666666666666664,65.7191783861727,56.942110864046406,100.0
2025-05-06,96.87901636209035,71.1744123398172,17.58508062372803,16.666666666666664,66.69146601079333,40.10414453670752,100.0
2025-05-07,92.73584370266826,73.72307553330658,26.88483580758026,33.33333333333333,69.62074277709215,100.0,100.0
2025-05-08,91.41562874215533,76.2734245630447,16.35293431810616,33.33333333333333,69.1668175836755,55.940216439657064,100.0
2025-05-09,90.02388074553609,77.92577314046542,16.579551713326513,49.99999999999999,71.78532219616362,69.22588225640268,100.0
2025-05-12,90.60705902677596,73.62235509565276,15.175089208674105,66.66666666666666,76.56333011167726,47.27163869841643,100.0
2025-05-13,86.69895534029234,74.36919845755368,29.38831748923285,83.33333333333331,83.48832418194796,27.087553687701543,100.0
2025-05-14,93.93227663677114,100.0,27.36333819172625,100.0,91.34118783139805,61.20947579127727,100.0
2025-05-15,86.51926503491464,94.84671002389601,7.389433573764332,83.33333333333331,97.08686856938773,35.124141446461564,100.0
2025-05-16,82.11484860900943,94.076944179917,7.960498109216979,66.66666666666666,100.0,40.5216640966453,100.0
